ID; X; Y; Z
1;-0.2194838;1.002606;0.2117268
2;-0.2195408;1.002653;0.2117502
3;-0.2196321;1.002601;0.2118801
4;-0.2196576;1.002549;0.211964
5;-0.2196577;1.002514;0.2121008
6;-0.2196741;1.002506;0.2122061
7;-0.2197781;1.002486;0.2125415
8;-0.2198791;1.002496;0.2130595
9;-0.2199031;1.002517;0.2131978
10;-0.2199864;1.002524;0.2135406
11;-0.2200344;1.002526;0.2137302
12;-0.2200626;1.002549;0.2141306
13;-0.2199003;1.002528;0.2144671
14;-0.2197273;1.002534;0.2149092
15;-0.2196749;1.002569;0.2150054
16;-0.2196437;1.002588;0.2151004
17;-0.2196282;1.002613;0.2152775
18;-0.2196354;1.0026;0.2153983
19;-0.2195766;1.002511;0.2157659
20;-0.2195538;1.002459;0.215968
21;-0.2195212;1.002373;0.2163533
22;-0.2195111;1.002334;0.2165517
23;-0.2194815;1.002306;0.2167404
24;-0.2193573;1.00218;0.2171215
25;-0.2193192;1.002037;0.2173342
26;-0.2189801;1.001465;0.2178234
27;-0.2188191;1.001325;0.2180676
28;-0.2182743;1.001029;0.2185813
29;-0.2178667;1.000819;0.219038
30;-0.2170244;1.000496;0.2198962
31;-0.2164777;1.000371;0.2201878
32;-0.2160837;1.000428;0.2207642
33;-0.2152601;0.9999999;0.2216782
34;-0.2144194;0.9999021;0.2222302
35;-0.2132888;0.9996837;0.2231907
36;-0.2126648;0.9997173;0.2235732
37;-0.2109622;0.9995403;0.2248822
38;-0.2098555;0.9995938;0.2254801
39;-0.2076285;0.9996766;0.2270336
40;-0.2066882;0.9997849;0.2276727
41;-0.2056205;0.9999254;0.2284165
42;-0.2032155;0.9999383;0.2299867
43;-0.2014894;0.9998806;0.2310272
44;-0.1984148;1.000084;0.2328933
45;-0.1970515;1.00029;0.233612
46;-0.194392;1.000474;0.2348468
47;-0.1924773;1.000443;0.2354943
48;-0.1885141;1.000509;0.2365758
49;-0.1868264;1.000555;0.2370692
50;-0.185536;1.000591;0.2375578
51;-0.1840732;1.000528;0.2381608
52;-0.183192;1.000463;0.2385848
53;-0.1817315;1.00033;0.2389181
54;-0.1808241;1.000209;0.2391358
55;-0.1787264;0.9996923;0.2396841
56;-0.1774145;0.9994918;0.2397079
57;-0.176448;0.9993553;0.2397055
58;-0.1748679;0.9990817;0.2396626
59;-0.1740547;0.9989331;0.2397787
60;-0.1725642;0.9985369;0.2397119
61;-0.1719034;0.9983696;0.2395996
62;-0.1712065;0.9984684;0.2391706
63;-0.1711928;0.9986364;0.2389914
64;-0.1713162;0.9985021;0.2390826
65;-0.1714433;0.9984818;0.2390672
66;-0.1709319;0.9983773;0.2389753
67;-0.1716783;0.9983459;0.2390146
68;-0.1719281;0.9983493;0.238967
69;-0.1718488;0.9983572;0.2386848
70;-0.1716655;0.9983192;0.2385389
71;-0.1711773;0.9982108;0.2382239
72;-0.1708638;0.9981448;0.2380231
73;-0.1702455;0.998045;0.2373293
74;-0.1700166;0.9980154;0.2370901
75;-0.1698429;0.9979469;0.2368391
76;-0.1695389;0.9976116;0.2364155
77;-0.1692338;0.9973505;0.2361398
78;-0.1681398;0.9965842;0.2353995
79;-0.1674295;0.9961576;0.2350269
80;-0.165575;0.9953763;0.2338932
81;-0.1643002;0.9950678;0.2331341
82;-0.1629567;0.994792;0.2323413
83;-0.1598846;0.9942964;0.2305344
84;-0.1580638;0.9940119;0.2294031
85;-0.153226;0.9932021;0.2266806
86;-0.1510593;0.9929883;0.2250935
87;-0.1474961;0.9924557;0.2219535
88;-0.1460188;0.9920902;0.2204915
89;-0.1431138;0.9915243;0.2170237
90;-0.141992;0.9913824;0.2153105
91;-0.1412676;0.9912878;0.2141767
92;-0.1403363;0.9912732;0.2120545
93;-0.1399665;0.9912782;0.2110111
94;-0.1399039;0.9915624;0.2095838
95;-0.1399779;0.9919098;0.2090221
96;-0.1403843;0.992196;0.2086304
97;-0.1407285;0.9923254;0.208389
98;-0.1414039;0.992518;0.2083198
99;-0.1417592;0.9926491;0.2083329
100;-0.1421319;0.9927921;0.2083552
101;-0.1428387;0.9930923;0.208252
102;-0.1432156;0.9933027;0.2082508
103;-0.145574;0.9939877;0.2096001
104;-0.1468574;0.9943795;0.2106365
105;-0.1497235;0.9959322;0.2125445
106;-0.1515999;0.9968895;0.2134358
107;-0.1528359;0.9973973;0.2140577
108;-0.1557053;0.9978108;0.2159329
109;-0.1574549;0.9981442;0.2171997
110;-0.1613917;0.9992219;0.2187507
111;-0.1633396;0.9998069;0.2199598
112;-0.1667973;1.001005;0.2215848
113;-0.1682252;1.001575;0.2222505
114;-0.1702187;1.003228;0.2230048
115;-0.1711731;1.004429;0.223219
116;-0.1723184;1.005666;0.2232745
117;-0.1741534;1.008138;0.2237927
118;-0.1745397;1.008686;0.2240178
119;-0.1744459;1.009081;0.2244296
120;-0.174047;1.009256;0.2243638
121;-0.1740291;1.010514;0.2236093
122;-0.1738431;1.011155;0.2231058
123;-0.1733664;1.012544;0.2223212
124;-0.1725949;1.013422;0.2216967
125;-0.1713485;1.014288;0.2207239
126;-0.1688733;1.01621;0.2184611
127;-0.1676099;1.017224;0.217458
128;-0.1655882;1.019411;0.2159111
129;-0.1644012;1.020485;0.2152127
130;-0.1627682;1.022711;0.2133136
131;-0.1623209;1.02356;0.2125758
132;-0.1617342;1.024148;0.2120949
133;-0.1604563;1.024243;0.2118627
134;-0.1597672;1.024069;0.2119478
135;-0.1598941;1.024164;0.2112997
136;-0.1604278;1.024111;0.2109816
137;-0.1600603;1.024021;0.2106726
138;-0.1611564;1.022324;0.2120104
139;-0.1623287;1.020598;0.2135266
140;-0.1630608;1.019482;0.2143726
141;-0.1638763;1.018425;0.215352
142;-0.165164;1.015825;0.2176193
143;-0.1662286;1.014136;0.2187182
144;-0.1683495;1.011294;0.2204744
145;-0.1695457;1.010185;0.2211818
146;-0.1722466;1.008723;0.2226562
147;-0.1737223;1.008084;0.2233963
148;-0.1761528;1.005928;0.2249123
149;-0.1769197;1.004617;0.225721
150;-0.1776638;1.003462;0.2265421
151;-0.1800944;1.002535;0.2276465
152;-0.1809858;1.002267;0.2281686
153;-0.1827444;1.001424;0.2290387
154;-0.1834603;1.000814;0.229635
155;-0.1853343;1.000241;0.2312522
156;-0.1861618;0.9999151;0.2317938
157;-0.1870807;0.9995469;0.2324366
158;-0.1887866;0.99879;0.2337392
159;-0.1898281;0.9987651;0.2343822
160;-0.1922177;0.9989048;0.2358146
161;-0.1932423;0.9989098;0.2367804
162;-0.1954742;0.9983389;0.2392074
163;-0.1966026;0.9980417;0.2406071
164;-0.1989842;0.9978443;0.2434804
165;-0.2000694;0.9979204;0.245188
166;-0.2011378;0.9979642;0.2469396
167;-0.2034936;0.9982253;0.2504305
168;-0.204881;0.9984934;0.2522538
169;-0.2075401;0.9995779;0.256392
170;-0.2087083;0.9999923;0.2584119
171;-0.2108645;1.000279;0.2619103
172;-0.2116656;1.000351;0.2634355
173;-0.2127224;1.000923;0.2663342
174;-0.2127628;1.001124;0.2675779
175;-0.2126658;1.001199;0.2686765
176;-0.2117149;1.001134;0.2702086
177;-0.2109886;1.001368;0.2706443
178;-0.2090639;1.002267;0.2710353
179;-0.2078749;1.002713;0.2709141
180;-0.2048899;1.003394;0.2701067
181;-0.2032376;1.003749;0.2695934
182;-0.2013451;1.004291;0.2690793
183;-0.1971947;1.005722;0.2677183
184;-0.1950051;1.006726;0.2669994
185;-0.1898599;1.009431;0.2658488
186;-0.1873812;1.01109;0.2656383
187;-0.1814927;1.014867;0.2653498
188;-0.1786591;1.016687;0.2648972
189;-0.1730061;1.020541;0.264143
190;-0.1704098;1.022694;0.2639639
191;-0.1678732;1.024693;0.2638697
192;-0.1630851;1.028029;0.2636596
193;-0.1609861;1.02973;0.2635778
194;-0.1560543;1.033606;0.2631215
195;-0.1532483;1.035514;0.262941
196;-0.1473118;1.039399;0.263233
197;-0.1443332;1.041393;0.2634726
198;-0.1414845;1.043447;0.2637937
199;-0.1356975;1.047277;0.2649867
200;-0.1329037;1.048996;0.265703
201;-0.1271868;1.052094;0.2671156
202;-0.1241749;1.053553;0.2679674
203;-0.1184484;1.056809;0.269758
204;-0.1158804;1.05847;0.270573
205;-0.1109061;1.061404;0.2724383
206;-0.1085203;1.063022;0.2734926
207;-0.1059836;1.064893;0.2746342
208;-0.1009651;1.068788;0.2769994
209;-0.09843048;1.070697;0.278395
210;-0.09373635;1.074467;0.2814021
211;-0.09156665;1.076441;0.2830876
212;-0.08770658;1.080856;0.2863261
213;-0.08581874;1.083176;0.2877854
214;-0.08256417;1.087299;0.2909511
215;-0.08095271;1.089192;0.2926487
216;-0.07944792;1.091211;0.2943791
217;-0.076907;1.095641;0.2976573
218;-0.07593985;1.097651;0.2991402
219;-0.07440014;1.101514;0.3018332
220;-0.07363138;1.103634;0.3031849
221;-0.07226387;1.108154;0.3055942
222;-0.07149378;1.110281;0.3066586
223;-0.0707764;1.112288;0.3077083
224;-0.06992728;1.116039;0.3101573
225;-0.06943858;1.117818;0.3112464
226;-0.06837372;1.12189;0.3135001
227;-0.06765926;1.123923;0.3147778
228;-0.06605584;1.128114;0.3169681
229;-0.0653102;1.130558;0.3176576
230;-0.0637087;1.135852;0.3193608
231;-0.06328516;1.138439;0.3199965
232;-0.06275027;1.141039;0.3207227
233;-0.06153722;1.146242;0.3227213
234;-0.06070485;1.148373;0.3241613
235;-0.05911063;1.153462;0.3276661
236;-0.05778794;1.15673;0.3293803
237;-0.05584062;1.162631;0.3327715
238;-0.05490064;1.165464;0.3345994
239;-0.05345606;1.171277;0.3381275
240;-0.05307384;1.174242;0.3397377
241;-0.05297339;1.177397;0.3410246
242;-0.05315617;1.183129;0.3435298
243;-0.0533287;1.185565;0.3445275
244;-0.05347443;1.190281;0.3466069
245;-0.05402884;1.192483;0.347705
246;-0.05580876;1.196858;0.349593
247;-0.05721146;1.199565;0.3501706
248;-0.06030828;1.20454;0.3507831
249;-0.06185211;1.206977;0.3508505
250;-0.06314153;1.209589;0.3505744
251;-0.06543755;1.215385;0.3504144
252;-0.06650693;1.217901;0.3503177
253;-0.06795841;1.22294;0.3501825
254;-0.06889566;1.224889;0.3501893
255;-0.0708461;1.229535;0.350588
256;-0.07174946;1.232328;0.3508529
257;-0.07238542;1.235236;0.3512041
258;-0.07358532;1.241051;0.3517179
259;-0.07398085;1.244275;0.3521473
260;-0.07477306;1.25144;0.3524399
261;-0.07507089;1.255247;0.3528117
262;-0.07587494;1.262972;0.3534081
263;-0.07630759;1.266742;0.3538606
264;-0.07719532;1.273586;0.35511
265;-0.07752738;1.277005;0.3556726
266;-0.07797895;1.280404;0.3561409
267;-0.07843789;1.287933;0.3577021
268;-0.07850488;1.291882;0.3587264
269;-0.07857312;1.299294;0.3610652
270;-0.07856533;1.303147;0.3623459
271;-0.07842211;1.311204;0.3653331
272;-0.07838383;1.315405;0.3667083
273;-0.07830037;1.323732;0.3695914
274;-0.07820099;1.327394;0.3711381
275;-0.07812779;1.330799;0.3724779
276;-0.07803365;1.337451;0.3749631
